,name,matches,innings,overs,maidens,runs,wickets,best_bowling,average,economy,strike_rate,four_wkts,five_wkts,catches,stumps,season,team
91,Sohaib Maqsood,10,-,-,-,-,-,-,-,-,-,-,-,4,0,2017/2018,Multan Sultans
92,Sohail Akhtar,9,-,-,-,-,-,-,-,-,-,-,-,2,0,2017/2018,Lahore Qalandars
93,Sohail Khan,7,7,25.4,0,226,8,3/34,28.25,8.80,19.2,0,0,1,0,2017/2018,Lahore Qalandars
94,Sohail Tanvir,10,9,32.4,0,250,7,3/14,35.71,7.65,28.0,0,0,2,0,2017/2018,Multan Sultans
95,Tamim Iqbal,6,-,-,-,-,-,-,-,-,-,-,-,1,0,2017/2018,Peshawar Zalmi
96,Umaid Asif,12,12,46.0,0,323,13,4/23,24.84,7.02,21.2,1,0,2,0,2017/2018,Peshawar Zalmi
97,Umar Akmal,5,-,-,-,-,-,-,-,-,-,-,-,4,0,2017/2018,Lahore Qalandars
98,Umar Amin,6,-,-,-,-,-,-,-,-,-,-,-,2,0,2017/2018,Quetta Gladiators
99,Umar Gul,2,2,8.0,0,50,8,6/24,6.25,6.25,6.0,0,1,0,0,2017/2018,Multan Sultans
100,Usama Mir,2,2,5.0,0,63,0,-,-,12.60,-,0,0,0,0,2017/2018,Karachi Kings
101,Usman Shinwari,10,9,32.1,0,258,16,4/17,16.12,8.02,12.0,1,0,2,0,2017/2018,Karachi Kings
102,GC Viljoen,2,2,8.0,0,73,3,2/49,24.33,9.12,16.0,0,0,2,0,2017/2018,Multan Sultans
103,Wahab Riaz,13,13,49.5,0,344,18,3/30,19.11,6.90,16.6,0,0,4,0,2017/2018,Peshawar Zalmi
104,CAK Walton,5,-,-,-,-,-,-,-,-,-,-,-,3,0,2017/2018,Islamabad United
105,SR Watson,10,10,36.0,0,276,11,3/22,25.09,7.66,19.6,0,0,2,0,2017/2018,Quetta Gladiators
106,MH Wessels,4,-,-,-,-,-,-,-,-,-,-,-,0,0,2017/2018,Peshawar Zalmi
107,RA Whiteley,3,1,3.0,0,45,0,-,-,15.00,-,0,0,1,0,2017/2018,Multan Sultans
108,D Wiese,1,1,3.0,0,33,0,-,-,11.00,-,0,0,0,0,2017/2018,Karachi Kings
109,Yasir Shah,10,10,38.0,0,275,11,3/20,25.00,7.23,20.7,0,0,0,0,2017/2018,Lahore Qalandars
110,Zafar Gohar,2,2,7.0,0,46,3,3/25,15.33,6.57,14.0,0,0,0,0,2017/2018,Islamabad United
0,Aamer Yamin,3,3,12.0,0,84,4,3/17,21.00,7.00,18.0,0,0,2,0,2016/2017,Lahore Qalandars
1,Abrar Ahmed,2,2,6.0,0,41,0,-,-,6.83,-,0,0,0,0,2016/2017,Karachi Kings
2,Ahmed Shehzad,10,-,-,-,-,-,-,-,-,-,-,-,1,0,2016/2017,Quetta Gladiators
3,Amad Butt,4,3,5.0,0,49,1,1/9,49.00,9.80,30.0,0,0,1,0,2016/2017,Islamabad United
4,Anamul Haque,1,-,-,-,-,-,-,-,-,-,-,-,0,0,2016/2017,Quetta Gladiators
5,Anwar Ali,9,9,30.0,0,280,6,2/30,46.66,9.33,30.0,0,0,2,0,2016/2017,Quetta Gladiators
6,Asad Shafiq,7,-,-,-,-,-,-,-,-,-,-,-,3,0,2016/2017,Quetta Gladiators
7,Asif Ali,4,-,-,-,-,-,-,-,-,-,-,-,2,0,2016/2017,Islamabad United
8,Babar Azam,10,-,-,-,-,-,-,-,-,-,-,-,6,0,2016/2017,Karachi Kings
9,S Badree,1,1,3.0,0,34,0,-,-,11.33,-,0,0,0,0,2016/2017,Islamabad United
10,Bilawal Bhatti,5,5,15.1,0,100,1,1/34,100.00,6.59,91.0,0,0,4,0,2016/2017,Lahore Qalandars
11,SW Billings,5,-,-,-,-,-,-,-,-,-,-,-,2,0,2016/2017,Islamabad United
12,RS Bopara,10,3,9.0,0,90,0,-,-,10.00,-,0,0,7,0,2016/2017,Karachi Kings
13,CS Delport,4,1,1.5,0,18,1,1/18,18.00,9.81,11.0,0,0,0,0,2016/2017,Lahore Qalandars
14,BM Duckett,2,-,-,-,-,-,-,-,-,-,-,-,0,0,2016/2017,Islamabad United
15,GD Elliott,7,7,12.0,0,115,4,4/23,28.75,9.58,18.0,1,0,3,0,2016/2017,Lahore Qalandars
16,RR Emrit,1,1,4.0,0,30,3,3/30,10.00,7.50,8.0,0,0,0,0,2016/2017,Quetta Gladiators
17,SM Ervine,1,-,-,-,-,-,-,-,-,-,-,-,0,0,2016/2017,Quetta Gladiators
18,Fakhar Zaman,8,2,2.0,0,5,1,1/3,5.00,2.50,12.0,0,0,2,0,2016/2017,Lahore Qalandars
19,CH Gayle,9,-,-,-,-,-,-,-,-,-,-,-,3,0,2016/2017,Karachi Kings
20,Ghulam Mudassar,1,1,2.0,0,23,0,-,-,11.50,-,0,0,0,0,2016/2017,Lahore Qalandars
21,BJ Haddin,9,-,-,-,-,-,-,-,-,-,-,-,4,0,2016/2017,Islamabad United
22,Haris Sohail,3,-,-,-,-,-,-,-,-,-,-,-,0,0,2016/2017,Peshawar Zalmi
23,Hasan Ali,11,10,36.3,0,260,12,3/23,21.66,7.12,18.2,0,0,5,0,2016/2017,Peshawar Zalmi
24,Hassan Khan,10,10,32.4,0,228,9,2/10,25.33,6.97,21.7,0,0,7,0,2016/2017,Quetta Gladiators
25,Hussain Talat,2,-,-,-,-,-,-,-,-,-,-,-,1,0,2016/2017,Islamabad United
26,Iftikhar Ahmed,3,1,2.0,0,8,2,2/8,4.00,4.00,6.0,0,0,2,0,2016/2017,Peshawar Zalmi
27,Imad Wasim,10,10,29.0,0,191,8,3/18,23.87,6.58,21.7,0,0,4,0,2016/2017,Karachi Kings
28,Imran Khalid,3,3,5.0,0,54,1,1/10,54.00,10.80,30.0,0,0,1,0,2016/2017,Islamabad United
29,Imran Khan,1,1,4.0,0,42,1,1/42,42.00,10.50,24.0,0,0,0,0,2016/2017,Peshawar Zalmi
30,DPMD Jayawardene,1,-,-,-,-,-,-,-,-,-,-,-,0,0,2016/2017,Karachi Kings
31,CJ Jordan,6,6,19.0,0,131,8,3/26,16.37,6.89,14.2,0,0,6,0,2016/2017,Peshawar Zalmi
32,Junaid Khan,3,2,8.0,0,101,2,1/49,50.50,12.62,24.0,0,0,0,0,2016/2017,Peshawar Zalmi
33,Kamran Akmal,11,-,-,-,-,-,-,-,-,-,-,-,7,5,2016/2017,Peshawar Zalmi
34,Kashif Bhatti,1,1,2.0,0,24,0,-,-,12.00,-,0,0,0,0,2016/2017,Karachi Kings
35,Khushdil Shah,2,-,-,-,-,-,-,-,-,-,-,-,1,0,2016/2017,Peshawar Zalmi
36,BB McCullum,8,1,1.0,0,13,0,-,-,13.00,-,0,0,2,0,2016/2017,Lahore Qalandars
37,Mahmudullah,6,5,14.2,0,111,7,3/21,15.85,7.74,12.2,0,0,1,0,2016/2017,Quetta Gladiators
38,DJ Malan,6,-,-,-,-,-,-,-,-,-,-,-,1,0,2016/2017,Peshawar Zalmi
39,TS Mills,5,5,20.0,0,145,7,3/20,20.71,7.25,17.1,0,0,2,0,2016/2017,Quetta Gladiators
40,Mir Hamza,1,1,4.0,0,48,1,1/48,48.00,12.00,24.0,0,0,0,0,2016/2017,Quetta Gladiators
41,Misbah-ul-Haq,9,-,-,-,-,-,-,-,-,-,-,-,6,0,2016/2017,Islamabad United
42,Mohammad Amir,10,10,36.2,2,268,10,3/7,26.80,7.37,21.8,0,0,1,0,2016/2017,Karachi Kings
43,Mohammad Asghar,7,7,17.0,0,145,8,3/16,18.12,8.52,12.7,0,0,3,0,2016/2017,Peshawar Zalmi
44,Mohammad Hafeez,10,6,15.0,0,97,7,2/7,13.85,6.46,12.8,0,0,5,0,2016/2017,Peshawar Zalmi
45,Mohammad Irfan,8,8,30.0,1,210,7,2/7,30.00,7.00,25.7,0,0,2,0,2016/2017,Islamabad United
46,Mohammad Irfan,7,7,20.0,0,185,7,3/26,26.42,9.25,17.1,0,0,0,0,2016/2017,Lahore Qalandars
47,Mohammad Nawaz,10,10,33.0,0,264,10,3/51,26.40,8.00,19.8,0,0,6,0,2016/2017,Quetta Gladiators
48,Mohammad Rizwan,8,-,-,-,-,-,-,-,-,-,-,-,5,2,2016/2017,Lahore Qalandars
49,Mohammad Sami,9,9,31.0,1,216,12,3/26,18.00,6.96,15.5,0,0,5,0,2016/2017,Islamabad United
50,EJG Morgan,6,-,-,-,-,-,-,-,-,-,-,-,2,0,2016/2017,Peshawar Zalmi
51,SP Narine,8,8,32.0,0,207,10,2/16,20.70,6.46,19.2,0,0,0,0,2016/2017,Lahore Qalandars
52,NLTC Perera,6,6,17.1,0,155,5,3/34,31.00,9.02,20.6,0,0,4,0,2016/2017,Quetta Gladiators
53,KP Pietersen,9,-,-,-,-,-,-,-,-,-,-,-,3,0,2016/2017,Quetta Gladiators
54,KA Pollard,10,1,1.1,0,23,0,-,-,19.71,-,0,0,8,0,2016/2017,Karachi Kings
55,N Pooran,1,-,-,-,-,-,-,-,-,-,-,-,0,0,2016/2017,Islamabad United
56,Rafatullah Mohmand,3,-,-,-,-,-,-,-,-,-,-,-,0,0,2016/2017,Islamabad United
57,RR Rossouw,9,1,1.0,0,8,1,1/8,8.00,8.00,6.0,0,0,1,0,2016/2017,Quetta Gladiators
58,JJ Roy,5,-,-,-,-,-,-,-,-,-,-,-,1,0,2016/2017,Lahore Qalandars
59,Rumman Raees,7,7,26.1,0,162,12,4/25,13.50,6.19,13.0,1,0,4,0,2016/2017,Islamabad United
60,Saad Nasim,3,1,1.0,0,9,0,-,-,9.00,-,0,0,1,0,2016/2017,Quetta Gladiators
61,Saeed Ajmal,4,4,11.4,0,116,3,1/29,38.66,9.94,23.3,0,0,1,0,2016/2017,Islamabad United
62,DJG Sammy,11,6,10.0,0,99,2,1/11,49.50,9.90,30.0,0,0,4,0,2016/2017,Peshawar Zalmi
63,MN Samuels,5,-,-,-,-,-,-,-,-,-,-,-,1,0,2016/2017,Peshawar Zalmi
64,KC Sangakkara,10,-,-,-,-,-,-,-,-,-,-,-,10,0,2016/2017,Karachi Kings
65,Sarfraz Ahmed,10,-,-,-,-,-,-,-,-,-,-,-,4,3,2016/2017,Quetta Gladiators
66,Shadab Khan,8,8,26.0,0,172,9,3/13,19.11,6.61,17.3,0,0,4,0,2016/2017,Islamabad United
67,Shahid Afridi,10,9,28.0,1,189,2,1/2,94.50,6.75,84.0,0,0,0,0,2016/2017,Peshawar Zalmi
68,Shahzaib Hasan,2,-,-,-,-,-,-,-,-,-,-,-,0,0,2016/2017,Karachi Kings
69,Shakib Al Hasan,5,4,12.0,2,77,5,2/14,15.40,6.41,14.4,0,0,0,0,2016/2017,Peshawar Zalmi
70,Sharjeel Khan,1,-,-,-,-,-,-,-,-,-,-,-,2,0,2016/2017,Islamabad United
71,Shoaib Malik,10,5,11.0,0,82,3,2/21,27.33,7.45,22.0,0,0,2,0,2016/2017,Karachi Kings
72,DR Smith,9,-,-,-,-,-,-,-,-,-,-,-,2,0,2016/2017,Islamabad United
73,Sohaib Maqsood,6,-,-,-,-,-,-,-,-,-,-,-,2,0,2016/2017,Peshawar Zalmi
74,Sohail Khan,9,9,31.3,1,240,16,3/23,15.00,7.61,11.8,0,0,0,0,2016/2017,Karachi Kings
75,Sohail Tanvir,8,8,29.5,0,251,10,2/24,25.10,8.41,17.9,0,0,1,0,2016/2017,Lahore Qalandars
76,Tamim Iqbal,5,-,-,-,-,-,-,-,-,-,-,-,0,0,2016/2017,Peshawar Zalmi
77,Umar Akmal,8,-,-,-,-,-,-,-,-,-,-,-,5,0,2016/2017,Lahore Qalandars
78,Umar Gul,2,1,4.0,0,34,1,1/34,34.00,8.50,24.0,0,0,0,0,2016/2017,Quetta Gladiators
79,Usama Mir,8,8,27.5,0,228,12,3/24,19.00,8.19,13.9,0,0,0,0,2016/2017,Karachi Kings
80,Usman Shinwari,8,8,26.0,0,198,6,3/32,33.00,7.61,26.0,0,0,2,0,2016/2017,Karachi Kings
81,MN van Wyk,1,-,-,-,-,-,-,-,-,-,-,-,0,0,2016/2017,Quetta Gladiators
82,Wahab Riaz,10,9,33.0,0,203,15,3/24,13.53,6.15,13.2,0,0,6,0,2016/2017,Peshawar Zalmi
83,SR Watson,9,9,23.0,0,209,10,4/44,20.90,9.08,13.8,1,0,0,0,2016/2017,Islamabad United
84,LJ Wright,1,-,-,-,-,-,-,-,-,-,-,-,0,0,2016/2017,Quetta Gladiators
85,Yasir Shah,8,8,28.0,0,169,9,4/7,18.77,6.03,18.6,1,0,1,0,2016/2017,Lahore Qalandars
86,Zohaib Khan,1,1,1.0,0,13,0,-,-,13.00,-,0,0,1,0,2016/2017,Islamabad United
87,Zulfiqar Babar,8,8,32.0,1,210,6,2/17,35.00,6.56,32.0,0,0,2,0,2016/2017,Quetta Gladiators
0,Aamer Yamin,2,2,7.0,0,54,1,1/21,54.00,7.71,42.0,0,0,0,0,2015/2016,Peshawar Zalmi
1,Abdur Rehman,1,1,3.0,0,28,0,-,-,9.33,-,0,0,1,0,2015/2016,Peshawar Zalmi
2,Adnan Rasool,3,2,6.0,0,67,0,-,-,11.16,-,0,0,0,0,2015/2016,Lahore Qalandars
3,Ahmed Shehzad,10,-,-,-,-,-,-,-,-,-,-,-,4,0,2015/2016,Quetta Gladiators
4,Aizaz Cheema,4,4,14.0,0,104,6,2/14,17.33,7.42,14.0,0,0,3,0,2015/2016,Quetta Gladiators
5,Akbar-ur-Rehman,7,3,4.0,0,29,0,-,-,7.25,-,0,0,3,0,2015/2016,Quetta Gladiators
6,J Allenby,2,-,-,-,-,-,-,-,-,-,-,-,0,0,2015/2016,Peshawar Zalmi
7,Anwar Ali,9,9,29.5,1,258,9,2/33,28.66,8.64,19.8,0,0,3,0,2015/2016,Quetta Gladiators
8,Asad Shafiq,1,-,-,-,-,-,-,-,-,-,-,-,0,0,2015/2016,Quetta Gladiators
9,Ashar Zaidi,3,2,8.0,0,59,0,-,-,7.37,-,0,0,0,0,2015/2016,Islamabad United
10,Asif Ali,6,-,-,-,-,-,-,-,-,-,-,-,5,0,2015/2016,Islamabad United
11,Azhar Ali,7,2,5.0,0,30,0,-,-,6.00,-,0,0,3,0,2015/2016,Lahore Qalandars
12,Azhar Mahmood,2,2,7.0,0,57,1,1/22,57.00,8.14,42.0,0,0,2,0,2015/2016,Islamabad United
13,Babar Azam,2,-,-,-,-,-,-,-,-,-,-,-,0,0,2015/2016,Islamabad United
14,S Badree,6,6,23.0,1,158,4,1/20,39.50,6.86,34.5,0,0,1,0,2015/2016,Islamabad United
15,JM Bairstow,1,-,-,-,-,-,-,-,-,-,-,-,2,0,2015/2016,Peshawar Zalmi
16,Bilawal Bhatti,1,1,4.0,0,36,2,2/36,18.00,9.00,12.0,0,0,0,0,2015/2016,Karachi Kings
17,SW Billings,5,-,-,-,-,-,-,-,-,-,-,-,3,0,2015/2016,Islamabad United
18,Bismillah Khan,3,-,-,-,-,-,-,-,-,-,-,-,0,0,2015/2016,Quetta Gladiators
19,RS Bopara,9,9,22.0,0,152,11,6/16,13.81,6.90,12.0,0,1,1,0,2015/2016,Karachi Kings
20,DJ Bravo,8,8,27.0,0,226,4,3/30,56.50,8.37,40.5,0,0,2,0,2015/2016,Lahore Qalandars
21,E Chigumbura,5,-,-,-,-,-,-,-,-,-,-,-,2,0,2015/2016,Quetta Gladiators
22,KK Cooper,7,6,17.0,0,157,6,3/25,26.16,9.23,17.0,0,0,3,0,2015/2016,Lahore Qalandars
23,CS Delport,8,5,10.5,0,87,4,3/18,21.75,8.03,16.2,0,0,2,0,2015/2016,Lahore Qalandars
24,Ehsan Adil,5,5,19.5,0,170,7,4/39,24.28,8.57,17.0,1,0,1,0,2015/2016,Lahore Qalandars
25,GD Elliott,6,6,22.0,0,134,11,4/15,12.18,6.09,12.0,1,0,2,0,2015/2016,Quetta Gladiators
26,CH Gayle,5,1,1.0,0,5,0,-,-,5.00,-,0,0,0,0,2015/2016,Lahore Qalandars
27,BJ Haddin,8,-,-,-,-,-,-,-,-,-,-,-,7,1,2015/2016,Islamabad United
28,Hammad Azam,3,1,2.0,0,25,0,-,-,12.50,-,0,0,0,0,2015/2016,Lahore Qalandars
29,Hasan Ali,3,3,11.0,1,75,2,1/13,37.50,6.81,33.0,0,0,1,0,2015/2016,Peshawar Zalmi
30,BJ Hodge,4,-,-,-,-,-,-,-,-,-,-,-,0,0,2015/2016,Peshawar Zalmi
31,Iftikhar Ahmed,4,1,0.2,0,7,0,-,-,21.00,-,0,0,1,0,2015/2016,Karachi Kings
32,Imad Wasim,8,6,16.0,0,137,4,1/10,34.25,8.56,24.0,0,0,3,0,2015/2016,Karachi Kings
33,Imran Khalid,9,8,23.1,1,145,9,4/20,16.11,6.25,15.4,1,0,4,0,2015/2016,Islamabad United
34,Imran Khan,1,1,4.0,0,35,1,1/35,35.00,8.75,24.0,0,0,2,0,2015/2016,Peshawar Zalmi
35,Junaid Khan,6,6,24.0,1,178,6,2/32,29.66,7.41,24.0,0,0,1,0,2015/2016,Peshawar Zalmi
36,Kamran Akmal,10,-,-,-,-,-,-,-,-,-,-,-,8,2,2015/2016,Peshawar Zalmi
37,Kamran Ghulam,2,1,1.0,0,6,0,-,-,6.00,-,0,0,0,0,2015/2016,Islamabad United
38,Khalid Latif,9,-,-,-,-,-,-,-,-,-,-,-,3,0,2015/2016,Islamabad United
39,NL McCullum,2,1,3.0,0,24,1,1/24,24.00,8.00,18.0,0,0,1,0,2015/2016,Quetta Gladiators
40,DJ Malan,8,-,-,-,-,-,-,-,-,-,-,-,5,0,2015/2016,Peshawar Zalmi
41,BAW Mendis,4,4,12.0,0,94,4,3/17,23.50,7.83,18.0,0,0,0,0,2015/2016,Lahore Qalandars
42,Mir Hamza,4,3,4.5,0,51,0,-,-,10.55,-,0,0,2,0,2015/2016,Karachi Kings
43,Misbah-ul-Haq,9,-,-,-,-,-,-,-,-,-,-,-,3,0,2015/2016,Islamabad United
44,Mohammad Amir,7,7,26.0,1,164,7,3/27,23.42,6.30,22.2,0,0,0,0,2015/2016,Karachi Kings
45,Mohammad Asghar,9,9,31.0,1,203,11,3/20,18.45,6.54,16.9,0,0,3,0,2015/2016,Peshawar Zalmi
46,Mohammad Hafeez,10,-,-,-,-,-,-,-,-,-,-,-,3,0,2015/2016,Peshawar Zalmi
47,Mohammad Irfan,6,6,21.0,1,155,7,3/22,22.14,7.38,18.0,0,0,0,0,2015/2016,Islamabad United
48,Mohammad Nabi,8,8,27.0,0,208,4,2/32,52.00,7.70,40.5,0,0,4,0,2015/2016,Quetta Gladiators
49,Mohammad Nawaz,10,10,35.4,0,234,13,4/13,18.00,6.56,16.4,1,0,5,0,2015/2016,Quetta Gladiators
50,Mohammad Rizwan,8,-,-,-,-,-,-,-,-,-,-,-,6,4,2015/2016,Lahore Qalandars
51,Mohammad Sami,7,7,24.4,0,138,12,5/8,11.50,5.59,12.3,0,1,1,0,2015/2016,Islamabad United
52,Mushfiqur Rahim,3,-,-,-,-,-,-,-,-,-,-,-,1,2,2015/2016,Karachi Kings
53,Nauman Anwar,5,-,-,-,-,-,-,-,-,-,-,-,1,0,2015/2016,Karachi Kings
54,Naved Yasin,5,-,-,-,-,-,-,-,-,-,-,-,1,0,2015/2016,Lahore Qalandars
55,KP Pietersen,9,-,-,-,-,-,-,-,-,-,-,-,1,0,2015/2016,Quetta Gladiators
56,Rumman Raees,8,8,26.3,0,180,4,1/14,45.00,6.79,39.7,0,0,1,0,2015/2016,Islamabad United
57,AD Russell,10,10,34.2,0,276,16,3/18,17.25,8.03,12.8,0,0,5,0,2015/2016,Islamabad United
58,Saeed Ajmal,6,6,22.0,0,157,6,3/27,26.16,7.13,22.0,0,0,0,0,2015/2016,Islamabad United
59,Saifullah Bangash,5,-,-,-,-,-,-,-,-,-,-,-,2,0,2015/2016,Karachi Kings
60,DJG Sammy,10,6,11.0,0,96,4,1/9,24.00,8.72,16.5,0,0,4,0,2015/2016,Peshawar Zalmi
61,KC Sangakkara,4,-,-,-,-,-,-,-,-,-,-,-,0,0,2015/2016,Quetta Gladiators
62,Sarfraz Ahmed,10,-,-,-,-,-,-,-,-,-,-,-,2,2,2015/2016,Quetta Gladiators
63,Shahid Afridi,10,10,37.0,2,244,10,5/7,24.40,6.59,22.2,0,1,4,0,2015/2016,Peshawar Zalmi
64,Shahid Yousuf,9,-,-,-,-,-,-,-,-,-,-,-,3,0,2015/2016,Peshawar Zalmi
65,Shahzaib Hasan,2,-,-,-,-,-,-,-,-,-,-,-,1,0,2015/2016,Karachi Kings
66,Shakib Al Hasan,8,7,21.0,0,167,3,1/26,55.66,7.95,42.0,0,0,3,0,2015/2016,Karachi Kings
67,Sharjeel Khan,11,-,-,-,-,-,-,-,-,-,-,-,2,0,2015/2016,Islamabad United
68,Shoaib Malik,9,4,11.0,0,73,1,1/16,73.00,6.63,66.0,0,0,1,0,2015/2016,Karachi Kings
69,LMP Simmons,6,-,-,-,-,-,-,-,-,-,-,-,1,0,2015/2016,Karachi Kings
70,DR Smith,4,3,4.0,0,45,0,-,-,11.25,-,0,0,3,0,2015/2016,Islamabad United
71,Sohaib Maqsood,2,-,-,-,-,-,-,-,-,-,-,-,0,0,2015/2016,Lahore Qalandars
72,Sohail Khan,5,5,17.5,0,120,4,2/23,30.00,6.72,26.7,0,0,0,0,2015/2016,Karachi Kings
73,Sohail Tanvir,6,6,19.5,0,150,2,1/19,75.00,7.56,59.5,0,0,1,0,2015/2016,Karachi Kings
74,SW Tait,9,9,35.0,1,262,10,2/23,26.20,7.48,21.0,0,0,1,0,2015/2016,Peshawar Zalmi
75,Tamim Iqbal,6,-,-,-,-,-,-,-,-,-,-,-,2,0,2015/2016,Peshawar Zalmi
76,RN ten Doeschate,1,-,-,-,-,-,-,-,-,-,-,-,0,0,2015/2016,Karachi Kings
77,Umar Akmal,7,-,-,-,-,-,-,-,-,-,-,-,7,0,2015/2016,Lahore Qalandars
78,Umar Amin,2,-,-,-,-,-,-,-,-,-,-,-,0,0,2015/2016,Islamabad United
79,Umar Gul,6,6,21.0,0,179,4,2/19,44.75,8.52,31.5,0,0,1,0,2015/2016,Quetta Gladiators
80,Usama Mir,7,7,25.0,0,195,6,2/27,32.50,7.80,25.0,0,0,1,0,2015/2016,Karachi Kings
81,JM Vince,7,-,-,-,-,-,-,-,-,-,-,-,3,0,2015/2016,Karachi Kings
82,Wahab Riaz,9,9,34.2,0,245,15,3/17,16.33,7.13,13.7,0,0,1,0,2015/2016,Peshawar Zalmi
83,SR Watson,6,6,14.0,0,117,1,1/37,117.00,8.35,84.0,0,0,2,0,2015/2016,Islamabad United
84,MH Wessels,2,-,-,-,-,-,-,-,-,-,-,-,1,0,2015/2016,Karachi Kings
85,LJ Wright,6,-,-,-,-,-,-,-,-,-,-,-,1,0,2015/2016,Quetta Gladiators
86,Zafar Gohar,6,5,12.2,0,102,7,4/14,14.57,8.27,10.5,1,0,1,0,2015/2016,Lahore Qalandars
87,Zia-ul-Haq,3,3,8.0,0,69,3,2/38,23.00,8.62,16.0,0,0,0,0,2015/2016,Lahore Qalandars
88,Zohaib Khan,7,7,22.0,0,183,3,2/35,61.00,8.31,44.0,0,0,1,0,2015/2016,Lahore Qalandars
89,Zulfiqar Babar,10,10,40.0,1,289,9,2/29,32.11,7.22,26.6,0,0,5,0,2015/2016,Quetta Gladiators
